場所,キャッチコピー,説明
沖縄美ら海水族館,沖縄の海を再現、海の生き物たちの雄大な世界,国営沖縄記念公園内に位置する沖縄の海を再現した水族館です。ジンベエザメやナンヨウマンタなどをはじめとした、約710種もの沖縄の海の生き物たちの雄大な世界が広がっています。何度訪れても新しい出会いと発見がありますよ。
旭山動物園,約半分が北方圏の動物、「行動展示」で知られる動物園,単に動物の姿形を見せる「形態展示」ではなく、動物の持つ能力や行動などを見せる「行動展示」で一躍全国に知られるようになった旭川市旭山動物園。飼育している動物のうち約半分が北方圏の動物です。ほっきょくぐま館ではホッキョクグマを間近で見ることができ、カプセルから覗くこともできますよ。
福井県立恐竜博物館,50体の恐竜骨格や大型復元ジオラマ・映像などが魅力,恐竜化石の一大産地である福井県勝山市に建てられた、恐竜を中心とする地質・古生物学博物館です。館内の展示室は、恐竜の世界・地球の科学・生命の歴史の3つのゾーンから構成。50体の恐竜骨格をはじめとした千数百の標本の数々や、大型復元ジオラマ・映像などを見られますよ。
ユニバーサル・スタジオ・ジャパン,ミニオンやマリオのアトラクションが楽しめる大型テーマパーク,関西にある大型テーマパークです。ミニオンズ・スパイダーマン・スーパーマリオなど、有名キャラクターたちのアトラクションやイベントを楽しめます。公式アプリでは、アトラクションの待ち時間・レストラン・近くの化粧室などを検索でき、バタバタしやすい子ども連れの家族旅行でも便利に使えますよ。
別府温泉,旅館や繁華街が魅力。別府の温泉観光地,伊予国風土記に「速見の湯」と記され、江戸時代以降には本格的な温泉地となった「別府温泉」。市街地の海岸通りと流川通りの周辺にホテル旅館街があり、流川通りには銀天街などの繁華街がにぎわっています。市営の共同浴場・竹瓦温泉は唐破風造りの趣きがあり、古くから砂湯で知られています。
横浜・八景島シーパラダイス,4つの水族館を見るだけで半日、ホテルまでそろったレジャー施設,4つの水族館とさまざまなアトラクション、バラエティ豊かなショッピングストア・レストラン・ホテルがそろった複合型海洋レジャー施設です。4つの水族館を見てまわるだけで半日かかります。季節ごとのイベントも充実していますよ。
東京ディズニーリゾート,夢を与えてくれる、日本を代表するテーマパーク,1983年の開園以来、数え切れない人たちに夢を与えてきた日本を代表するテーマパークです。東京ディズニーランドと東京ディズニーシーの2つのテーマパークからなり、多くのアミューズメント施設とバラエティ豊かなレストランやショップを完備。ディズニーの人気キャラクターたちが訪れる人を出迎えてくれますよ。
ハウステンボス,ヨーロッパの街並みを再現した花と光のリゾート,花と光の感動リゾートで知られる、長崎県佐世保市のテーマパーク。ヨーロッパの街並みを再現した場内には、季節の花々が咲き誇ります。夜を彩るイルミネーションや大迫力の花火など、季節ごとのイベントも盛りだくさんです。
ひらかたパーク,40種類のアトラクションが魅力。世代を問わず楽しめる,ほのぼの系マシンから絶叫マシンまで、約40種類のアトラクションがそろうテーマパークです。美しい英国風庭園の広がるローズガーデンや、動物と出会える屋内型動物園わくわく動物村もあり、世代を問わず楽しめます。観覧車や激流下り、ムービーシアターなど雨の日でも遊べるのが魅力です。
仙台アンパンマンこどもミュージアム＆モール,アンパンマンづくしの世界。子どもにおすすめ,「それいけ！アンパンマン」の世界が広がるミュージアム&モールで、見て触れて体験していっぱい遊べる施設です。アンパンマンたちが登場するステージやグッズ・フードショップ・レストラン・サロンなど楽しさ盛りだくさん。ベビーカー置き場やコインロッカーのほか、広々としたベビールームも完備しています。
伊豆市,年間を通して温暖な気候。関東圏からも近い観光地,駿河湾や伊豆高原などの風光明媚な自然に恵まれ、年間を通して温暖な気候の伊豆。関東圏から近いところでは修善寺や熱海、伊豆ぐらんぱる公園や一碧湖などが有名です。伊豆極楽苑や熱海秘宝館など、個性的な観光名所もあります。
国営ひたち海浜公園,彩り豊な花々を四季を通じて楽しめる、魅力いっぱいの公園,茨城県ひたちなか市の太平洋岸にあり、彩り豊な花々を四季を通じて楽しめる公園です。海抜100mからの眺望を楽しめる大観覧車をはじめ、ジェットコースターなど多彩なアトラクションがそろう遊園地。そのほか、林間アスレチック広場やバーベキュー広場など、遊び方は十人十色です。
